M416,98888888kK,7,570506.3,300499.4,MIRAMAR,2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,1560,IdiotWHJ,6,562046.8,303647
Win94,WalrusInHeat,23,367829.1,429801.6,MIRAMAR,2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,211,Sugar_Booger423,32,369624.7,434335.9
Down and Out,JoyFeng-,3,366462.9,423587.8,MIRAMAR,2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,199,NoParkingHere,30,364521.4,424906.5
Down and Out,ImSoPhamcy,42,383678.6,444768.1,MIRAMAR,2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,144,heavychevyz7197,35,383871.9,444276.9
S686,LowGe,3,371549.9,423493.3,MIRAMAR,2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,103,SADEX,45,371355.5,423288.6
SCAR-L,FantasticBoys,2,526263.6,345763.2,MIRAMAR,2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,1244,Solayuki1,9,527243.9,346417.4
Punch,xuezhiqian717,26,725012.6,361189.7,MIRAMAR,2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,134,xXtentacionXx,47,0,0
AKM,Alexande-999,25,361569.7,419730,MIRAMAR,2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,167,Newblacen,36,361278.9,419166.9
Grenade,MeLeeXH,1,568047.1,288962.2,MIRAMAR,2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,1944,LowGe,3,567814.8,294379.8
Down and Out,TedHQW,2,559462.1,313402.6,MIRAMAR,2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,1539,Kroy2005,6,561293.3,306626.6
Grenade,nide2Bxiaojiejie,31,90925.14,722112.9,MIRAMAR,2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,215,nide2Bxiaojiejie,31,90925.14,722112.9
Micro UZI,NoParkingHere,30,366649.1,424968.1,MIRAMAR,2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,102,Dszs,44,366968.4,425042.9
M16A4,NET_MANHDUNG2,1,376429.3,434734.8,MIRAMAR,2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,131,Sichuanxlg,41,376344.8,434978.8
M16A4,TedHQW,2,524288.7,346538.5,MIRAMAR,2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,1244,Weirdo7777,9,526412.1,346504.1
S12K,Hcl211,8,438757.9,280729.9,MIRAMAR,2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,235,SBSB123,28,439254.2,280726.3
Down and Out,NameLessisME,8,375099.8,292415.2,MIRAMAR,2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,1010,Hcl211,8,375254.8,292389.7
S686,xiaogao13,27,373104.3,433791.3,MIRAMAR,2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,126,dinkeing,41,373038.9,433880.9
Tommy Gun,TedHQW,2,383953.1,444024.6,MIRAMAR,2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,170,WellSuited,35,383583.5,444753.6
M416,JoyFeng-,3,362688.8,434332.5,MIRAMAR,2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,552,NET_MANHDUNG2,,362263.2,434470.6
Punch,X3evolution,33,86343.59,708670.1,MIRAMAR,2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,125,34DTrueDamage,31,86358.76,708756.7
SCAR-L,IdiotWHJ,6,498826.8,308124.3,MIRAMAR,2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,1263,NameLessisME,8,501133.5,308250.4
P1911,Sugar_Booger423,32,372348.2,432944.2,MIRAMAR,2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,164,xiaogao13,27,372473.6,433406.3
Down and Out,JoyFeng-,3,362936.8,434318.4,MIRAMAR,2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,553,Games_414_TQ1,,362179.2,436248.2
AKM,Alexande-999,25,369184.6,421062.2,MIRAMAR,2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,113,MoNKeY203tG,43,368332,421274.5
Down and Out,FantasticBoys,2,524989.9,346106.9,MIRAMAR,2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,1201,TONGLIANGZHI,10,525671.5,345720.4
Down and Out,SAOZISHUIZHENDUO,1,473679.1,353759.8,MIRAMAR,2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,565,LittleMoustache,20,471807.5,356858.3
Down and Out,jinze,26,368875.8,417772.6,MIRAMAR,2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,361,Alexande-999,25,366831.8,416067.8
